id,toDepot,to,Total,start,end
1,571D,571NC,580,165,250
1,571D,571QKA,586,165,250
1,571D,571QKC,688,165,250
1,571D,571QKE,925,165,250
1,571D,571QKF,1223,165,250
1,571FA,571D,199,165,250
1,571FA,571NC,142,165,250
1,571FA,571QKA,130,165,250
1,571FA,571QKC,113,165,250
1,571FA,571QKE,271,165,250
1,571FA,571QKF,289,165,250
1,571NC,571D,407,165,250
1,571NC,571FA,183,165,250
1,571NC,571QKA,272,165,250
1,571NC,571QKC,254,165,250
1,571NC,571QKE,375,165,250
1,571NC,571QKF,532,165,250
1,571QKA,571D,470,165,250
1,571QKA,571FA,180,165,250
1,571QKA,571NC,292,165,250
1,571QKA,571QKC,368,165,250
1,571QKA,571QKE,428,165,250
1,571QKA,571QKF,588,165,250
1,571QKC,571D,409,165,250
1,571QKC,571FA,109,165,250
1,571QKC,571NC,195,165,250
1,571QKC,571QKA,274,165,250
1,571QKC,571QKE,410,165,250
1,571QKC,571QKF,646,165,250
1,571QKE,571D,562,165,250
1,571QKE,571FA,269,165,250
1,571QKE,571NC,282,165,250
1,571QKE,571QKA,320,165,250
1,571QKE,571QKC,410,165,250
1,571QKE,571QKF,1001,165,250
1,571QKF,571D,1081,165,250
1,571QKF,571FA,428,165,250
1,571QKF,571NC,678,165,250
1,571QKF,571QKA,603,165,250
1,571QKF,571QKC,777,165,250
1,571QKF,571QKE,1016,165,250
1,571AA,571QKF,402,0,90
1,571AC,571NC,523,0,90
1,571AD,571D,1012,0,90
1,571AE,571QKC,199,0,90
1,571AF,571QKF,463,0,90
1,571AG,571QKA,399,0,90
1,571AJ,571QKC,310,0,90
1,571AM,571QKF,195,0,90
1,571AQ,571NC,104,0,90
1,571B,571D,463,0,90
1,571BM,571QKF,498,0,90
1,571CC,571FA,125,0,90
1,571CD,571QKC,402,0,90
1,571CK,571QKE,469,0,90
1,571CL,571QKE,273,0,90
1,571CS,571QKF,525,0,90
1,571DA,571D,140,0,90
1,571DB,571D,237,0,90
1,571DC,571QKA,578,0,90
1,571DJ,571D,355,0,90
1,571E,571QKF,591,0,90
1,571EA,571QKF,164,0,90
1,571FB,571QKE,227,0,90
1,571FC,571QKE,245,0,90
1,571FF,571QKE,273,0,90
1,571FH,571QKE,182,0,90
1,571FL,571QKE,93,0,90
1,571FM,571QKE,306,0,90
1,571FN,571FA,153,0,90
1,571FP,571FA,160,0,90
1,571FQ,571FA,263,0,90
1,571FT,571QKE,393,0,90
1,571FX,571FA,100,0,90
1,571HB,571NC,240,0,90
1,571HC,571NC,301,0,90
1,571HJ,571QKE,138,0,90
1,571HK,571FA,68,0,90
1,571HN,571QKC,285,0,90
1,571J,571D,461,0,90
1,571JB,571D,696,0,90
1,571K,571NC,273,0,90
1,571KA,571QKF,319,0,90
1,571KB,571QKE,301,0,90
1,571KF,571D,261,0,90
1,571KJ,571QKC,553,0,90
1,571KL,571D,385,0,90
1,571KM,571FA,189,0,90
1,571KT,571NC,238,0,90
1,571LB,571FA,133,0,90
1,571LD,571QKE,113,0,90
1,571LH,571FA,63,0,90
1,571NF,571QKA,294,0,90
1,571P,571QKF,188,0,90
1,571PB,571QKF,1200,0,90
1,571PC,571QKF,588,0,90
1,571PD,571QKE,438,0,90
1,571PF,571QKF,241,0,90
1,571PG,571QKC,387,0,90
1,571PH,571QKF,861,0,90
1,571QA,571D,252,0,90
1,571QC,571QKA,195,0,90
1,571QD,571QKA,615,0,90
1,571QE,571QKA,524,0,90
1,571QF,571QKC,277,0,90
1,571TD,571NC,125,0,90
1,571TM,571NC,147,0,90
